ppg,art
27.67978,82.03635
27.28479,81.04892
27.28479,81.04892
26.889801,81.04892
27.28479,81.04892
27.28479,81.04892
26.889801,82.03635
27.28479,81.04892
27.28479,81.04892
26.889801,80.06143
26.889801,80.06143
27.28479,80.06143
27.28479,80.06143
27.67978,80.06143
27.28479,79.074005
27.67978,79.074005
27.28479,79.074005
27.67978,79.074005
27.28479,77.09909
27.67978,77.09909
27.67978,77.09909
28.469742,77.09909
29.259705,77.09909
30.444656,76.1116
32.024582,77.09909
34.394485,76.1116
36.764374,76.1116
39.134277,75.124176
42.294144,74.13669
45.05902,74.13669
47.8239,74.13669
52.1687,73.14926
54.933594,73.14926
57.69847,73.14926
60.06836,73.14926
60.858337,72.16177
61.648285,72.16177
62.438263,71.17435
61.253326,71.17435
60.46335,71.17435
59.27841,71.17435
57.69847,70.18686
55.723557,70.18686
54.143616,69.19943
52.56369,68.211945
50.983765,69.19943
49.798813,68.211945
48.61386,68.211945
47.8239,67.22452
46.638947,67.22452
45.05902,66.23703
43.87407,66.23703
42.294144,66.23703
41.10919,66.23703
39.52925,65.2496
38.344315,64.262115
37.159363,64.262115
35.97441,64.262115
34.78946,64.262115
33.604523,64.262115
32.41957,63.27469
32.024582,63.27469
32.024582,63.27469
31.629608,63.27469
31.23462,63.27469
32.024582,62.2872
31.629608,62.2872
31.629608,61.299774
32.024582,62.2872
32.024582,61.299774
31.629608,60.312286
31.629608,59.32486
31.629608,59.32486
31.23462,59.32486
31.629608,59.32486
30.83963,59.32486
30.049667,59.32486
29.654694,59.32486
29.654694,58.33737
29.259705,57.349945
28.864716,57.349945
28.469742,57.349945
28.469742,56.362457
28.469742,56.362457
28.074753,56.362457
27.67978,56.362457
27.28479,56.362457
26.889801,55.37503
26.889801,56.362457
26.494827,55.37503
26.494827,55.37503
26.494827,54.387543
26.099838,54.387543
26.099838,55.37503
26.099838,54.387543
26.099838,54.387543
25.704865,53.400116
26.099838,53.400116
26.099838,53.400116
26.494827,53.400116
26.494827,53.400116
26.494827,52.41263
26.494827,51.4252
26.494827,52.41263
26.494827,51.4252
26.889801,52.41263
26.889801,51.4252
26.889801,52.41263
26.889801,50.437714
26.889801,51.4252
27.28479,50.437714
27.28479,50.437714
27.28479,49.450287
27.28479,49.450287
27.28479,49.450287
27.28479,49.450287
26.889801,49.450287
26.889801,49.450287
27.28479,48.4628
27.67978,48.4628
27.28479,48.4628
27.67978,47.475372
27.67978,48.4628
27.67978,48.4628
27.28479,47.475372
27.67978,47.475372
27.28479,46.487885
27.67978,47.475372
27.67978,47.475372
27.67978,46.487885
27.67978,46.487885
27.67978,46.487885
27.28479,46.487885
27.67978,46.487885
27.28479,45.500458
27.28479,45.500458
27.67978,45.500458
27.67978,45.500458
27.28479,45.500458
27.67978,44.51297
27.67978,45.500458
27.67978,44.51297
27.67978,44.51297
28.074753,44.51297
27.67978,44.51297
28.074753,43.525543
28.074753,43.525543
28.469742,43.525543
28.074753,43.525543
28.469742,43.525543
28.469742,43.525543
28.074753,43.525543
28.469742,43.525543
28.469742,43.525543
28.074753,44.51297
28.469742,45.500458
28.469742,46.487885
28.074753,48.4628
28.469742,49.450287
28.864716,52.41263
28.864716,54.387543
28.864716,56.362457
28.469742,57.349945
28.469742,59.32486
28.469742,60.312286
28.469742,62.2872
28.864716,63.27469
28.864716,64.262115
28.469742,66.23703
28.864716,67.22452
28.864716,68.211945
28.864716,69.19943
29.259705,69.19943
29.259705,70.18686
29.259705,71.17435
29.259705,71.17435
29.259705,71.17435
29.259705,72.16177
29.259705,72.16177
29.259705,72.16177
29.259705,72.16177
29.654694,71.17435
29.654694,72.16177
29.654694,71.17435
29.259705,72.16177
29.654694,71.17435
29.654694,71.17435
30.049667,71.17435
29.654694,71.17435
30.049667,71.17435
30.049667,71.17435
29.654694,71.17435
30.049667,71.17435
30.049667,70.18686
30.444656,71.17435
30.444656,70.18686
30.83963,70.18686
