ppg,art
36.3694,92.89841
35.579437,93.88583
34.78946,93.88583
33.999496,94.87332
33.999496,95.86075
33.999496,98.82315
33.999496,101.78549
34.394485,105.73532
35.18445,111.660065
36.3694,119.55972
36.764374,126.471954
37.949326,133.38412
38.73929,139.30887
39.92424,142.27121
40.31923,143.2587
40.714203,143.2587
41.10919,143.2587
41.10919,141.28378
40.31923,141.28378
39.134277,141.28378
38.73929,140.2963
37.159363,141.28378
35.97441,140.2963
34.78946,139.30887
33.604523,136.34653
33.209534,133.38412
32.41957,131.40921
32.024582,129.4343
32.024582,127.45938
32.024582,125.48447
32.024582,123.50955
32.41957,120.54721
32.814545,117.58481
32.814545,113.63498
33.209534,109.68515
33.604523,107.710236
34.394485,107.710236
